row,item,version,letter,sentence,sentence_spr,qm0,im_jahr,year,perfect,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,qm3,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,condition,list,life_status,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,year_time,fact_time,year_fact,Asterisk
13,7,25,c,25c,"„Im Jahr*2020*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Muhammad Ali*einer Nachrichtenagentur.",„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Muhammad Ali,Muhammad Ali,Niki Lauda,yes,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im Boxen gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.",life mismatch,1,dead,F,J,mismatch,match,critical,PM,Athletes,Muhammad_Ali.jpg,old,old,match,8
14,7,27,c,27c,"„Im Jahr*1975*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Lionel Messi*einer Nachrichtenagentur.",„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Lionel Messi,Lionel Messi,Serena Williams,yes,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im Fußball gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.",life mismatch,1,alive,F,J,mismatch,match,critical,PM,Athletes,Lionel_Messi.jpg,new,new,match,8
19,10,38,d,38d,"„Im Jahr*2015*habe ich*in dem Film*‚The Invisible Woman‘*die Hauptrolle gespielt,“*das schilderte*Charlie Chaplin*interessierten Fans.",„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,The Invisible Woman,‘,die Hauptrolle gespielt,",",“,das schilderte,Charlie Chaplin,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",life-fact mismatch,1,dead,F,J,mismatch,mismatch,critical,AP,Actors,Charlie_Chaplin.jpg,old,old,match,8
20,10,40,d,40d,"„Im Jahr*1940*habe ich*in dem Film*‚Die Tribute von Panem – Mockingjay‘*die Hauptrolle gespielt,“*das schilderte*Arnold Schwarzenegger*interessierten Fans.",„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,Die Tribute von Panem – Mockingjay,‘,die Hauptrolle gespielt,",",“,das schilderte,Arnold Schwarzenegger,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",life-fact mismatch,1,alive,F,J,mismatch,mismatch,critical,AP,Actors,Arnold_Schwarzenegger.jpg,new,new,match,8
23,12,46,b,46b,"„Im Jahr*2020*habe ich*mein Engagement für die*Rechte junger Frauen*vorangetrieben,“*das verkündete*Greta Thunberg*auf einer Pressekonferenz.",„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Rechte junger Frauen,,vorangetrieben,",",“,das verkündete,Greta Thunberg,Greta Thunberg,Malala Yousafzai,no,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Greta Thunberg auf einer Pressekonferenz.",fact mismatch,1,alive,F,J,match,mismatch,critical,PM,Activist,Greta_Thunberg.jpg,new,new,match,
24,12,48,b,48b,"„Im Jahr*1955*habe ich*mein Engagement für die*Abschaffung der Apartheid*vorangetrieben,“*das verkündete*Martin Luther King*auf einer Pressekonferenz.",„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorangetrieben,",",“,das verkündete,Martin Luther King,Martin Luther King,Nelson Mandela,no,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.",fact mismatch,1,dead,F,J,match,mismatch,critical,PM,Activist,Martin_Luther_King.jpg,old,old,match,
33,17,65,a,65a,"„Im Jahr*2017*habe ich*die Nation*Frankreich*regiert,“*das berichtete*Emmanuel Macron*einer Tageszeitung.",„,Im Jahr,2017,habe ich,die,Die,Nation,,Frankreich,,regiert,",",“,das berichtete,Emmanuel Macron,Emmanuel Macron,Wladimir Putin,yes,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation Frankreich regieren, das berichtete Emmanuel Macron einer Tageszeitung.",full match,1,alive,F,J,match,match,critical,DP,Policitians,Emmanuel_Macron.jpg,new,new,match,8
34,17,67,a,67a,"„Im Jahr*1942*habe ich*die Nation*Großbritannien*regiert,“*das berichtete*Winston Churchill*einer Tageszeitung.",„,Im Jahr,1942,habe ich,die,Die,Nation,,Großbritannien,,regiert,",",“,das berichtete,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,yes,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation Großbritannien regieren, das berichtete Winston Churchill einer Tageszeitung.",full match,1,dead,F,J,match,match,critical,DP,Policitians,Winston_Churchill.jpg,old,old,match,8
39,20,78,b,78b,"„Im Jahr*2008*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Elon Musk*einer Tageszeitung.",„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Elon Musk,Elon Musk,Mark Zuckerberg,no,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Elon Musk einer Tageszeitung.",fact mismatch,1,alive,F,J,match,mismatch,critical,AP,Creators,Elon_Musk.jpg,new,new,match,8
40,20,80,b,80b,"„Im Jahr*1908*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Thomas Edison*einer Tageszeitung.",„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Thomas Edison,Thomas Edison,Henry Ford,no,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.",fact mismatch,1,dead,F,J,match,mismatch,critical,AP,Creators,Thomas_Edison.jpg,old,old,match,8
